Accession	BacMet_ID	Gene_name	Location	Organism	Compound	Description
P52002	BAC0235	mexB	Chromosome	Pseudomonas aeruginosa (strain ATCC 15692/PAO1/1C/PRS 101/LMG 12228)	"Triclosan [class: Phenolic compounds], n-hexane [class: Alkane], p-xylene [class: Aromatic hydrocarbons]"	"Multidrug resistance protein MexB; The inner membrane transporter component of the MexAB-OprM efflux system that confers multidrug resistance. Also functions as the major efflux pump for n-hexane and p-xylene efflux. Over-Expression of the pump increases antibiotic and solvent efflux capacities. Implicated in the secretion of the siderophore pyoverdine; The ability to Export antibiotics and solvents is dramatically decreased in the presence of the proton conductor carbonyl cyanide m-chlorophenylhydrazone (CCCP), showing that an energized inner membrane is required for efflux. It is thought that the MexB subunit is a proton antiporter."
Q51395	BAC0236	mexC	Chromosome	Pseudomonas aeruginosa	"Triclosan [class: Phenolic compounds], n-hexane [class: Alkane], p-xylene [class: Aromatic hydrocarbons]"	Membrane fusion protein MexC; part of mexCD-oprJ efflux operon; The mexCD-oprJ is a second efflux pump besides mexAB-oprM operon in Pseudomonas aeruginosa.
Q51396	BAC0237	mexD	Chromosome	Pseudomonas aeruginosa	"Triclosan [class: Phenolic compounds], n-hexane [class: Alkane], p-xylene [class: Aromatic hydrocarbons]"	Multidrug efflux RND transporter MexD; part of mexCD-oprJ efflux operon; The mexCD-oprJ is a second efflux pump besides mexAB-oprM operon in Pseudomonas aeruginosa.
Q1IB41	BAC0238	mexE	Chromosome	Pseudomonas entomophila (strain L48)	"Triclosan [class: Phenolic compounds], n-hexane [class: Alkane], p-xylene [class: Aromatic hydrocarbons]"	Multidrug efflux RND membrane fusion protein MexE; part of mexE-mexF-oprN efflux operon
Q4KBN7	BAC0239	mexF	Chromosome	Pseudomonas fluorescens (strain Pf-5/ATCC BAA-477)	"Triclosan [class: Phenolic compounds], n-hexane [class: Alkane], p-xylene [class: Aromatic hydrocarbons]"	"Multidrug efflux RND transporter, permease protein MexF; part of mexE-mexF-oprN efflux operon"
Q9HWH4	BAC0240	mexI	Chromosome	Pseudomonas aeruginosa 138244	"Vanadium (V), Triclosan [class: Phenolic compounds]"	RND Multidrug efflux transporter mexI; Part of mexGHI-ompD efflux pump operon. The efflux pump also involved in N-acyl-homoserine lactones (AHLs) homeostsis in Pseudomonas aeruginosa.
Q9HXW3	BAC0241	mexJ	Chromosome	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	Triclosan [class: Phenolic compounds]	Resistance-Nodulation-Cell Division (RND) efflux membrane fusion protein mexJ; part of mexJ-mexK-oprM efflux system; OprJ and OprN do not function with MexJK; Triclosan efflux required neither of the outer membrane protein but must associate with OprM to form a tripartite antibiotic efflux system
Q9HXW4	BAC0242	mexK	Chromosome	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	Triclosan [class: Phenolic compounds]	RND efflux transporter mexK; part of mexJ-mexK-oprM efflux system; OprJ and OprN do not function with MexJK;  Triclosan efflux required neither of the outer membrane protein but must associate with OprM to form a tripartite antibiotic efflux system
P52003	BAC0243	mexR	Chromosome	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	Triclosan [class: Phenolic compounds]	Repressor of the mexAB-oprM multidrug resistance operon mexR. Also represses its own Expression. Many variants lead to increased Expression of the mexAB-oprM operon
O87785	BAC0244	mexT	Chromosome	Pseudomonas aeruginosa	Triclosan [class: Phenolic compounds]	Transcriptional regulator MexT; the regulator of the MexEF-OprN efflux operon
Q9HW28	BAC0245	mexV	Chromosome	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	"Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine]"	Resistance-Nodulation-Cell Division (RND) efflux membrane fusion protein mexV; part of mexVW-oprM efflux system
Q9HW27	BAC0246	mexW	Chromosome	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	"Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine]"	Resistance-Nodulation-Cell Division (RND) efflux transporter mexW; part of mexVW-oprM efflux system
Q9ZNG9	BAC0247	mexX	Chromosome	Pseudomonas aeruginosa	Ethidium Bromide [class: Phenanthridine]	Resistance-Nodulation-Cell Division (RND) efflux transporter mexX; E. coli ToIC or P. aeruginosa OprM is necessary for the function of the MexXY system
Q9ZNG8	BAC0248	mexY	Chromosome	Pseudomonas aeruginosa	Ethidium Bromide [class: Phenanthridine]	Resistance-Nodulation-Cell Division (RND) efflux transporter mexY; E. coli ToIC or P. aeruginosa OprM is necessary for the function of the MexXY system
P36640	BAC0642	mgtA	Chromosome	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	"Cobalt (Co), Magnesium (Mg)"	Mediates magnesium influx to the cytosol.
P0ABB8	BAC0087	mgtA	Chromosome	Escherichia coli (strain K12)	"Cobalt (Co), Magnesium (Mg)"	"Magnesium-transporting ATPase, P-type 1; Mediates magnesium influx to the cytosol."
O53858	BAC0480	mmco	Chromosome	Mycobacterium tuberculosis	Copper (Cu)	Mmco is required for copper resistance in Mycobacterium tuberculosis. It acts by oxidation of toxic Cu(I) in the periplasm.
P69926	BAC0249	mmR	Chromosome	Mycobacterium tuberculosis	"Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Acriflavine [class: Acridine], Ethidium Bromide [class: Phenanthridine], Safranin O [class: Azin], Pyronin Y [class: Xanthene]"	"Multidrug efflux pump mmR. Confers resistance to tetraphenylphosphonium (TPP), erythromycin, ethidium bromide, acriflavine, safranin O and pyronin Y."
O34385	BAC0250	mntA/ytgA	Chromosome	Bacillus subtilis (strain 168)	"Manganese (Mn), Cadmium (Cd)"	"Manganese-binding lipoprotein MntA; This protein is a component of a manganese permease, a binding protein-dependent, ATP-driven transport system. May be the major manganese uptake system during sporulation"
P0A769	BAC0251	mntH/yfeP	Chromosome	Escherichia coli (strain K12)	"Manganese (Mn), Iron (Fe), Cadmium (Cd), Cobalt (Co), Zinc (Zn)"	"Divalent metal cation transporter MntH; H+-stimulated, divalent metal cation uptake system. Involved in manganese and iron uptake. Can also transport cadmium, cobalt, zinc and to a lesser extent nickel and copper. Involved in response to reactive oxygen."
P76264	BAC0252	mntP/yebN	Chromosome	Escherichia coli K-12	"Manganese (Mn), Magnesium (Mg), Methyl Viologen [class: Paraquat], Hydrogen Peroxide (H2O2) [class: Peroxides]"	MntP; Functions as a manganese efflux pump
P0A9F1	BAC0253	mntR	Chromosome	Escherichia coli	"Manganese (Mn), Magnesium (Mg)"	"Manganese transport regulator mntR; In the presence of manganese, represses expression of mntH and mntS. Up-regulates expression of mntP"
Q72FN6	BAC0598	modA	Chromosome	Desulfovibrio vulgaris Hildenborough (strain GZ6027)	"Tungsten (W), Molybdenum (Mo)"	"Molybdenum ABC transporter, periplasmic molybdenum-binding protein. Part of the ModABC transport system."
P37329	BAC0609	modA	Chromosome	Escherichia coli (strain K12)	"Tungsten (W), Molybdenum (Mo)"	Molybdate-binding periplasmic protein. Involved in the transport of molybdenum into the cell. Binds molybdate with high specificity and affinity.
Q72FN2	BAC0599	modB	Chromosome	Desulfovibrio vulgaris Hildenborough (strain GZ6027)	"Tungsten (W), Molybdenum (Mo)"	"Molybdenum ABC transporter, permease protein. Part of the ModABC transport system. Responsible for the translocation of the substrate across the membrane. modB gene encodes the integral membrane protein ModB, which builds the membrane channel of the ModABC transporter."
P0AF01	BAC0610	modB	Chromosome	Escherichia coli (strain K12)	"Tungsten (W), Molybdenum (Mo)"	Molybdenum transport system permease protein ModB. Part of the binding-protein-dependent transport system for molybdenum; probably responsible for the translocation of the substrate across the membrane.
Q72FN3	BAC0600	modC	Chromosome	Desulfovibrio vulgaris Hildenborough (strain GZ6027)	"Tungsten (W), Molybdenum (Mo)"	"Molybdenum ABC transporter, ATPase subunit of the ModABC complex. Part of the ABC transporter complex ModABC involved in molybdenum import. Responsible for energy coupling to the transport system."
P09833	BAC0611	modC	Chromosome	Escherichia coli (strain K12)	"Tungsten (W), Molybdenum (Mo)"	Molybdenum import ATP-binding protein ModC. Part of the ABC transporter complex ModABC involved in molybdenum import. Responsible for energy coupling to the transport system.
P0A9G8	BAC0608	modE	Chromosome	Escherichia coli (strain K12)	"Tungsten (W), Molybdenum (Mo)"	"Transcriptional regulator ModE. The ModE-Mo complex acts as a repressor of the modABC operon, involved in the transport of molybdate. It controls tungstate and molybdate homeostasis in bacteria."
Q88IN1	BAC0254	mrdH	Plasmid pWW0 (Pseudomonas putida (Arthrobacter siderocapsulatus))	Pseudomonas putida (strain KT2440)	"Nickel (Ni), Cadmium (Cd), Zinc (Zn), Cobalt (Co)"	Membrane protein transpoeter mrdH
Q88IN0	BAC0255	mreA	Chromosome	Pseudomonas putida (strain KT2440)	"Nickel (Ni), Zinc (Zn)"	"Metal-sensitive repressor mreA, involved in resistance to metal ions. Bind nickel or zinc ions via conserved cysteine and histidine residues. In the absence of metal ions, this protein bind to promoter regions and repress transcription"
Q9WW32	BAC0256	mtrA	Chromosome	Neisseria gonorrhoeae	Triton X-100 [class: Polyethylene glycol]	Two component sensory transduction transcriptional regulatory protein MtrA; play an important role in enhancing transcription of the mtrCDE operon
P43505	BAC0257	mtrC	Chromosome	Neisseria gonorrhoeae	"Triton X-100 [class: Polyethylene glycol], Crystal Violet [class: Triarylmethane]"	"Membrane fusion protein MtrC; part of MtrCDE efflux pump; Cell membrane lipoprotein, involved in cell membrane permeability to hydrophobic compounds such as antibiotics, dyes and detergents"
Q5F725	BAC0258	mtrD	Chromosome	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	Triton X-100 [class: Polyethylene glycol]	Antibiotic resistance efflux pump component mtrD; part of MtrCDE efflux pump
B4RN86	BAC0259	mtrE	Chromosome	Neisseria gonorrhoeae (strain NCCP11945)	"Triton X-100 [class: Polyethylene glycol], Sodium Cholate [class: Acid]"	Antibiotic resistance efflux pump component ; Outer membrane protein mtrE; part of MtrCDE efflux pump
B4RN92	BAC0260	mtrF	Chromosome	Neisseria gonorrhoeae (strain NCCP11945)	Triton X-100 [class: Polyethylene glycol]	Antibiotic resistance efflux pump component mtrF;  inner membrane protein
P39897	BAC0261	mtrR	Chromosome	Neisseria gonorrhoeae	"Triton X-100 [class: Polyethylene glycol], Crystal Violet [class: Triarylmethane]"	HTH-type transcriptional regulator MtrR; Repressor of the mtrC gene. the major repressor of mtrCDE expression; Controls the permeability of the cell envelope to hydrophobic compounds such as antibiotics and detergents
P0CI28	BAC0262	mymT	Chromosome	Mycobacterium tuberculosis	"Copper (Cu), Nickel (Ni), Zinc (Zn)"	"Cu(I)-binding metallothionein mymT; Metallothioneins are small proteins that have a high content of cysteine residues wich allow them to bind heavy metal ions through clusters of thiolate bonds. MymT binds up to seven ions of Cu+, with a preference for four to six Cu+ ions, in a solvent-shielded core. MymT protects M. tuberculosis from copper toxicity. Up-regulated by copper, cadmium, cobalt, nickel and zinc, but not manganese."
Q44586	BAC0549	nccA	Plasmid pTOM9	Alcaligenes xylosoxidans 31A	"Nickel (Ni), Cobalt (Co), Cadmium (Cd)"	"Nickel-cobalt-cadmium resistance protein NccA. Component of the NCC cation-efflux system (nccYXHCBAN) that confers resistance to nickel, cobalt and cadmium. May form a membrane tunnel, which allows ion transport across the membrane."
Q44585	BAC0550	nccB	Plasmid pTOM9	Alcaligenes xylosoxidans 31A	"Nickel (Ni), Cobalt (Co), Cadmium (Cd)"	"Nickel-cobalt-cadmium resistance protein NccB. Component of the NCC cation efflux system ((nccYXHCBAN)) that confers resistance to nickel, cobalt and cadmium. "
Q44584	BAC0551	nccC	Plasmid pTOM9	Alcaligenes xylosoxidans 31A	"Nickel (Ni), Cobalt (Co), Cadmium (Cd)"	"Nickel-cobalt-cadmium resistance protein NccC. Component of the NCC cation-efflux system (nccYXHCBAN)) that confers resistance to nickel, cobalt and cadmium."
Q44583	BAC0555	nccH	Plasmid pTOM9	Alcaligenes xylosoxidans 31A	"Nickel (Ni), Cobalt (Co), Cadmium (Cd)"	"RNA polymerase sigma factor NccH. Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released. This sigma factor regulates the genes for a membrane-located efflux system ((nccYXHCBAN) that confers resistance to nickel, cobalt and cadmium."
Q44587	BAC0554	nccN	Plasmid pTOM9	Alcaligenes xylosoxidans 31A	"Nickel (Ni), Cobalt (Co), Cadmium (Cd)"	"Nickel-cobalt-cadmium resistance protein NccN. Component of the NCC cation-efflux system (nccYXHCBAN) that confers resistance to nickel, cobalt and cadmium. Appears to be involved in metal specificity but affects only nickel resistance. May be involved in nickel transport."
Q44582	BAC0553	nccX	Plasmid pTOM9	Alcaligenes xylosoxidans 31A	"Nickel (Ni), Cobalt (Co), Cadmium (Cd)"	"Nickel-cobalt-cadmium resistance protein NccX. Component of the Ncc cation-efflux system ((nccYXHCBAN)) that confers resistance to nickel, cobalt and cadmium. May be involved in the regulation of Ncc."
Q44581	BAC0552	nccY	Plasmid pTOM9	Alcaligenes xylosoxidans 31A	"Nickel (Ni), Cobalt (Co), Cadmium (Cd)"	"Nickel-cobalt-cadmium resistance protein NccY. Component of the Ncc cation-efflux system that confers resistance to nickel, cobalt and cadmium. May be involved in the regulation of Ncc."
Q06VT3	BAC0263	ncrA	Chromosome	Leptospirillum ferriphilum	Nickel (Ni)	Chromosomal nickel-resistant determinant ncrA found both in chromosome and plasmids. Part of ncrABCY nickel resistance Chromosomal determinant system. It encodes a membrane protein that forms an efflux with another membrane protein ncrC.
Q1KLR2	BAC0698	ncrA	Chromosome	Serratia marcescens strain C-1	"Cobalt (Co), Nickel (Ni)"	Part of the ncrABC determinant sytem. NcrA contributes to nickel and cobalt resistance in this bacterium.
Q8VTR6	BAC0702	ncrA	Plasmid pNRS148	Hafnia alvei 5-5	"Cobalt (Co), Nickel (Ni)"	Plasmid-borne ncrA protein. It encodes a membrane protein that forms an efflux with another membrane protein ncrC. Part of ncrABCY nickel resistance determinant system.
Q06VT2	BAC0264	ncrB	Chromosome	Leptospirillum ferriphilum	Nickel (Ni)	"Chromosomal nickel-resistant determinant ncrB which is cytoplasmic, histidine-rich protein found in both chromosome and plasmids; probabale metal-sensitive repressor, involved in resistance to nickel ions"
Q1KLR1	BAC0699	ncrB	Chromosome	Serratia marcescens strain C-1	"Cobalt (Co), Nickel (Ni)"	"Probabale metal-sensitive repressor, involved in resistance to nickel ions. Part of ncrABCY nickel resistance determinant system."
Q8VTR5	BAC0703	ncrB	Plasmid pNRS148	Hafnia alvei 5-5	"Cobalt (Co), Nickel (Ni)"	"Plasmid-borne ncrB protein. Probabale metal-sensitive repressor, involved in resistance to nickel ions. Part of ncrABCY nickel resistance determinant system."
D5CKG5	BAC0265	ncrC	Chromosome	Leptospirillum ferriphilum	Nickel (Ni)	Chromosomal nickel-resistant membrane protein NcrC found both in chromosome and plasmids. Part of ncrABCY nickel resistance determinant system. It encodes a membrane protein that forms an efflux with another membrane protein ncrA.
Q1KLR0	BAC0700	ncrC	Chromosome	Serratia marcescens strain C-1	"Cobalt (Co), Nickel (Ni)"	Part of ncrABCY nickel resistance determinant system. It encodes a membrane protein that forms an efflux with another membrane protein ncrA.
Q8VTR4	BAC0133	ncrC	Plasmid pNRS148	Hafnia alvei 5-5	"Cobalt (Co), Nickel (Ni)"	Plasmid-borne ncrC protein. Part of ncrABCY nickel resistance determinant system. It encodes a membrane protein that forms an efflux with another membrane protein ncrA.
Q06VT0	BAC0266	ncrY	Chromosome	Leptospirillum ferriphilum	Nickel (Ni)	Chromosoaml nickel-resistant determinant ncrY found both in chromosome and plasmids; some claims it has a negative effect on nickel resistance.
Q8VTR3	BAC0701	ncrY	Plasmid pNRS148	Hafnia alvei 5-5	"Cobalt (Co), Nickel (Ni)"	Plasmid-borne NcrY protein. Part of ncrABCY nickel resistance determinant system. Some claims it has a negative effect on nickel resistance.
B8GZE9	BAC0267	nczA	Chromosome	Caulobacter crescentus (strain NA1000 / CB15N)	"Nickel (Ni), Cobalt (Co), Zinc (Zn)"	"Nickel-cobalt-zinc resistance protein nczA; part of the nczCBA operon; The nczCBA operon is induced maximally by Ni2+ and Co2+, moderately by Zn2+ but not by Cd2+. NczCBA transports Ni2+ Co2+ and probably Zn2+"
P17117	BAC0540	nfsA	Chromosome	Escherichia coli K12	Chromium (Cr)	"A major oxygen-insensitive nitroreductase of Escherichia coli, is a flavoprotein that is able to reduce chromate to less soluble and less toxic Cr(III). Reduction of nitroaromatic compounds using NADH. Reduces nitrofurazone by a ping-pong bi-bi mechanism possibly to generate a two-electron transfer product. Major component of the oxygen-insensitive nitroreductase activity in E.coli."
P96454	BAC0268	nhlF	Chromosome	Rhodococcus rhodochrous	Cobalt (Co)	"Cobalt transporter nhlF. It has a significant sequence similarity to hoxN from Alcaligenes eutrophus, hupN from Bradyrhizobium japonicum, nixA from Helicobacter pylori etc. The protein has eight hydrophobic putative membrane-spanning domains."
Q92Z60	BAC0269	nia	Plasmid pSymA (Sinorhizobium melitoli)	Sinorhizobium melitoli	"Iron (Fe), Nickel (Ni)"	P1B-5-ATPase; Has role in detoxification of Fe (II)+ and Ni (II)+ under free living conditions as well as in symbiosis.
P33590	BAC0270	nikA	Chromosome	Escherichia coli (strain K12)	Nickel (Ni)	"Nickel-binding periplasmic protein nikA; Involved in a nickel transport system, represents the nickel binder. Part of the Nik operon (NikABCDE), Solute-binding protein"
P33591	BAC0271	nikB	Chromosome	Escherichia coli (strain K12)	Nickel (Ni)	"Nickel transport system permease protein NikB; Transmembrane protein; Involved in a nickel transport system, probably translocates nickel through the bacterial inner membrane. Part of the Nik operon (NikABCDE)"
P0AFA9	BAC0272	nikC	Chromosome	Escherichia coli (strain K12)	Nickel (Ni)	"Nickel transport system permease protein NikC; Transmembrane protein; Involved in a nickel transport system, probably translocates nickel through the bacterial inner membrane. Part of the Nik operon (NikABCDE)"
P33593	BAC0273	nikD	Chromosome	Escherichia coli (strain K12)	Nickel (Ni)	Nickel import ATP-binding protein NikD; Part of the ABC transporter complex NikABCDE involved in nickel import. Responsible for energy coupling to the transport system. Part of the Nik operon (NikABCDE)
P33594	BAC0274	nikE	Chromosome	Escherichia coli (strain K12)	Nickel (Ni)	Nickel import ATP-binding protein NikE; Part of the ABC transporter complex NikABCDE involved in nickel import. Responsible for energy coupling to the transport system.
P0A6Z6	BAC0275	nikR	Chromosome	Escherichia coli (strain K12)	Nickel (Ni)	Nickel-responsive regulator nikR; Transcriptional repressor of the nikABCDE operon. Is active in the presence of excessive concentrations of intracellular nickel.
Q6RUG3	BAC0276	nirA	Chromosome	Klebsiella oxytoca	Nickel (Ni)	Chromosomal nickel resistance determinant nirA. C-terminal of the nirA protien contains a histidine rich region tat might possess high affinity to nickel. 
Q6RUG2	BAC0277	nirB	Chromosome	Klebsiella oxytoca	Nickel (Ni)	Chromosomal nickel resistance determinant nirB. It has 98% amino acid sequence similarity to chromosomal ncrB.
Q6RUG1	BAC0278	nirC	Chromosome	Klebsiella oxytoca	Nickel (Ni)	Chromosomal nickel resistance determinant nirC. It is a memebrane protein like ABC-type transport proteins and also possess a histidine rich region with high affinity for nickel binding.
Q6RUG0	BAC0279	nirD	Chromosome	Klebsiella oxytoca	Nickel (Ni)	Chromosomal nickel resistance determinant nirD; has 75% amino acid sequence similarity to chromomosomal ncrY.
Q48262	BAC0280	nixA	Plasmid pRHL2 (Rhodococcus sp. (strain RHA1))	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	Nickel (Ni)	High-affinity nickel intake protein nixA. Imports nickel ions in an energy-dependent fashion. Necessary for the Expression of catalytically active urease.
O69711	BAC0281	nmtR	Chromosome	Mycobacterium tuberculosis	"Nickel (Ni), Cadmium (Cd), Lead (Pb)"	"Represses transcription of ctpJ/nmtA, by binding to its promoter region"
P0A0J7	BAC0282	norA	Chromosome	Staphylococcus aureus	"Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Acriflavine [class: Acridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Crystal Violet [class: Triarylmethane], Dequalinium [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine] , Pentamidine [class: Diamidine], Pyronin Y [class: Xanthene], Rhodamine 6G [class: Xanthene], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)]"	"Quinolone resistance protein norA, Involved in quinolone resistance. May constitute a membrane-associated active efflux pump of hydrophilic quinolones."
Q8NWQ5	BAC0283	norB	Chromosome	Staphylococcus aureus (strain MW2)	Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)]	"Quinolone resistance protein norB, Multidrug efflux pump that acts independently of norA and is one of the factors that confers resistance against diverse quinolones and chemical compounds By similarity. Can facilitate bacterial survival in vivo when overexpressed in an abscess and may contribute to the relative resistance of staphylococcal abscesses to antimicrobial therapy"
Q9F5N7	BAC0284	norM/pmpM	Chromosome	"Only gram -ve, N. gonorrhoeae, N. meningitidis, Burkholderia vietnamiensis"	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]	"Multidrug resistance protein NorM,  inner cell-membrane, Multidrug efflux pump. Confers probably resistance to the cationic peptide polymyxin B (PMB)."
F0KND8	BAC0285	nreB	"Plasmid pMOL30 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)),"	"Acromobacter xylosoxidans 31A, Synechocystis spp."	"Cobalt (Co), Nickel (Ni)"	Nickel resistance protein nreB (also known as nrsD or entS); nickel permease involved in nickel and cobalt tolerance. The histidine-rich C-terminal region of the nreB is not essential but contributes to maximal Ni(II) resistance. 
Q55935	BAC0286	nrsA	Chromosome	Synechocystis sp. (strain PCC 6803 / Kazusa)	Nickel (Ni)	Cation or drug efflux system protein nrsA
F7UKI9	BAC0287	nrsD/nreB	Chromosome	"Acinetobacter calcoaceticus (strain PHEA-2), Synechocystis sp. (strain PCC 6803 / Kazusa)"	"Nickel (Ni), Cobalt (Co)"	nrsD gene encodes a Ni(II) permease whose carboxy-terminal region is a metal binding domain; nickel permease involved in nickel and cobalt tolerance
F7UKI5	BAC0288	nrsR	Chromosome	Synechocystis sp. (strain PCC 6803 / GT-S)	Nickel (Ni)	OmpR subfamily protein NrsR/RppA/Rre33
F7UKI4	BAC0289	nrsS	Chromosome	Synechocystis sp. (strain PCC 6803 / GT-S)	Nickel (Ni)	Sensory transduction histidine kinase NrsS/RppB/Hik30
P37592	BAC0290	ompD/nmpC	Chromosome	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Methyl Viologen [class: Paraquat]	Outer membrane porin protein OmpD; Forms pores that allow passive diffusion of small molecules across the outer membrane
Q51397	BAC0291	oprJ	Chromosome	Pseudomonas aeruginosa (strain ATCC 15692/PAO1/1C/PRS 101/LMG 12228)	"Triclosan [class: Phenolic compounds], n-hexane [class: Alkane], p-xylene [class: Aromatic hydrocarbons]"	"Outer membrane protein oprJ, Channel-forming component of a multidrug resistance efflux pump. Part of the MexCD-OprJ efflux operon."
Q51487	BAC0292	oprM/oprK	Chromosome	Pseudomonas aeruginosa	"n-hexane [class: Alkane], p-xylene [class: Aromatic hydrocarbons]"	"Outer membrane protein OprM; The outer membrane component of the mexAB-oprM efflux system that confers multidrug resistance. Also functions as the major efflux pump for n-hexane and p-xylene efflux. Over-Expression of the pump increases antibiotic and solvent efflux capacities. Can replace the oprJ outer membrane component of the mexCD-oprJ pump; the antibiotics Exported are those Exported by the intact mexCD pump, showing that efflux substrate specificity is not conferred by this component. Serves as the outer membrane component for the mexXY efflux system. Implicated in the secretion of the siderophore pyoverdine. OprM is probably involved in the efflux of the siderophore across the outer membrane, The ability to Export antibiotics and solvents is dramatically decreased in the presence of the proton conductor carbonyl cyanide m-chlorophenylhydrazone (CCCP), showing that an energized inner membrane is required for efflux. It is thought that the mexB subunit is a proton antiporter"
P95423	BAC0562	oprN	Chromosome	Pseudomonas aeruginosa (strain ATCC 15692/PAO1/1C/PRS 101/LMG 12228)	"Triclosan [class: Phenolic compounds], n-hexane [class: Alkane], p-xylene [class: Aromatic hydrocarbons]"	Multidrug efflux outer membrane protein OprN; part of the mexEF-oprN multidrug efflux system of Pseudomonas aeruginosa.
Q69HW3	BAC0294	oqxA	"Plasmid p0LA52 (E. coli), Plasmid pGDGK3 (Klebsiella pneumoniae)"	Escherichia coli	"Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Clorine Dioxide (ClO2) [class: Halogens], Triclosan [class: Phenolic compounds], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Acriflavine [class: Acridine]"	"RND family multidrug efflux permease oqxA; part of oqxAB efflux system, can co-select antibiotics such as Chloramphenicol, Ciprofloxacin, nofloxacin, trimethoprim etc. oqxAB efflux system is dependent on the host TolC outer membrane protein when expressed in E. coli."
Q69HW2	BAC0295	oqxB	"Plasmid pOLA52 (E. coli),"	Escherichia coli	"Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Clorine Dioxide (ClO2) [class: Halogens], Triclosan [class: Phenolic compounds], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Acriflavine [class: Acridine]"	"RND family multidrug efflux permease oqxB; part of the oqxAB efflux system; can co-select antibiotics such as Chloramphenicol, Ciprofloxacin, nofloxacin, trimethoprim etc. oqxAB efflux system is dependent on the host TolC outer membrane protein when expressed in E. coli."
B6CM35	BAC0358	oscA	Chromosome	Pseudomonas corrugata 28	"Chromium (Cr), Dodine [class: Acetate]"	"oscA gene involved in the sulphur starvation response and in Cr(VI) resistance in Pseudomonas corrugata 28. oscA is located upstream of a gene cluster that encodes the components of the sulphate ABC transporter, and it forms a single transcriptional unit with sbp, which encodes the periplasmic sulphate-binding protein. It has been shown that oscA is essential for the utilization of various organosulphur compounds and that it induces upregulation of the cysTWA operon under conditions of chromate exposure. oscA may also have a regulatory role in the sulphur starvation response, but the exact mechanism through which it acts is not well understood."
P31554	BAC0296	ostA/lptD	Chromosome	Escherichia coli (strain K12)	n-hexane [class: Alkane]	"Organic solvent tolerance protein ostA/lptD; Together with LptE, is involved in the assembly of LPS in the outer leaflet of the outer membrane. Determines N-hexane tolerance and is involved in outer membrane permeability. Essential for envelope biogenesis"
C4WZN6	BAC0536	oxyRkp	Chromosome	Klebsiella pneumoniae NTUH-K2044	"Hydrogen Peroxide (H2O2) [class: Peroxides], Sodium Deoxycholate (SDC) [class: Acid], Acriflavine [class: Acridine], Rhodamine 6G [class: Xanthene], Ethidium Bromide [class: Phenanthridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"	Activator of hydrogen peroxide-inducible genes. It has contributory role towards varied stress tolerance in K. pneumoniae.
Q9I6H1	BAC0297	PA0320	Chromosome	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	"Cadmium (Cd), Mercury (Hg), Tributyltin (TBT) [class: Organo-tin], Hydrogen Peroxide (H2O2) [class: Peroxides], Hydrochloric acid (HCl) [class: Acid]"	TBT resistance gene PA0320; homologous to YgiW; PA0320 plays a certain role in stress tolerance against TBT as well as in stressors producing reactive oxygen species
